sams_name	amazon_name	score
CG PORT CHARGER LRG 	Charger	90
INCIPIO FEATHER     	Incipio Feather Case for Microsoft Surface Pro and Surface Pro 2	90
LG LUCID            	Black Micro Bluetooth Hands Free Heaphone For LG Lucid2	90
SOUND RUSH          	Panasonic RP-HXS200M-K Sound Rush On-Ear Headphones, Black/Gray	90
DELL INSPIRON 11    	Dell Inspiron 1150	94
TV STAND            	Aluminum Portable TV Stand for up to 60 inch Monitors - Silver	90
SPEAKER PHONE       	Micro Boom Wireless Bluetooth Speaker &amp; Speaker Phone (Black)	90
64GB FLASH DRIVE    	ULTRA 64GB Flash Drive	95
CEILING MOUNT       	Projector Ceiling Mount for PANASONIC PT-AE8000 AE8000U	90
INSPIRON 15Z        	Dell Inspiron 15Z Intel Core i5 1.8GHz 6GB 500GB+32GB SSD DVD 15.6&quot; W8 (Silver)	90
CORDLESS PHONE      	Fenzer Rechargeable Cordless Phone Battery for GE 27911EE1 27950EE1 Cordless Telephone Battery Replacement Pack	90
DELL INSPIRON 660   	Dell Inspiron 660 I660-1044BK Desktop Computer	90
HARLEY DAVIDSON     	Hogtunes 0401 Audio Cable (3.3', Connect MP3/GPS to Factory Harley-Davidson Radio)	90
CONDITIONER CHARGER 	Charger	90
DUAL USB CAR CHARGER	Lewis N. Clark Luggage Dual USB Car Charger, Black, One Size	90
DUAL USB CAR CHARGER	Lewis N. Clark Luggage Dual USB Car Charger, Black, One Size	90
INSPIRON 17R        	NEW Genuine battery for J1KND 312-0233 04YRJH Dell Inspiron 17R N7010 14R N4010	90
PERSONAL SOUND      	Etymotic QSA Personal Sound Amplifier, Platinum Pair	90
RUNPHONES WIRELESS  	RunPhones Wireless Headphones (Swift Black, Large)	90
LOGITECH FABRIC SKIN	Logitech Fabric Skin Keyboard Folio for iPad Air, Mars Red Orange	90
OTTERBOX COMMUTER   	Argyle Pink and Gray - Decal Style Vinyl Skin fits Otterbox Commuter iPhone4/4s Case (CASE SOLD SEPARATELY)	90
TV STAND            	Aluminum Portable TV Stand for up to 60 inch Monitors - Silver	90
SMART CHARGER       	GWC Technology HU2V40 USB 2.0 4-Port Hub with Smart Charger Adapter	90
INSPIRON 15 (3521)  	Dell Inspiron 15 (3521 / 5521) Laptop Keyboard - YH3FC - Genuine Dell Part	90
DC/AC POWER INVERTER	APC Pnoteac 140 12V DC/AC Power inverter	90
JAZ 1GB EXTERNAL    	na	90
WALL TYPE CHARGER   	Charger	90
DELL INSPIRON 15R   	Dell Inspiron 1150	91
COLOR INKJET PRINTER	10ft ReadyPlug&reg; USB Cable for: Epson Stylus NX530 Wireless All-in-One Color Inkjet Printer, Copier, Scanner	90
IPHONE 6 PLUS       	inDigi Bluetooth Smart Watch Phone For iPhone 6 plus Samsung S5 Note 4 Android Smart Phone	90
DELL STUDIO XPS 13  	Laptop Battery for Dell Studio XPS 1340 Series, 9 cells 6600mAh Black	90
