"marketplace","customer_id","review_id","product_id","product_parent","product_title","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","year","product_category"
"US","21947625","R2V66TEB44MPU3","B007UXNHNM","923851403","eForCityLeather Case for Barnes and Noble Nook Simple Touch with GlowLight , Black","5","0","0","N","Y","Five Stars","love it","16436","2015","Mobile_Electronics"
"US","43630548","R2V3MWQ41M5197","B00GYUYX3U","782601773","Kroo (Black) Hard Shell Carrying GPS Case for 4.3-inch Magellan RoadMate 2230T-LM GPS + 2-Pack 4.3-inch Clear GPS Screen Protectors","4","0","0","N","Y","Four Stars","Works great!","16436","2015","Mobile_Electronics"
"US","1471204","R2GJ4RTUFMYK75","B00MZYMG6K","371445349","PowerBoost X1 2600mAh Premium Portable iPhone Charger Rechargeable Battery With USB To 8-pin Connector Cable (Works with iPhones 5 / 5s / 6) And With USB To Micro USB Cable (Works With Most Android Phones) from Duroplus","5","0","0","N","N","Five Stars","Gave this as a gift and the recipient was thrilled. Very convenient.","16436","2015","Mobile_Electronics"
"US","47257427","R18EKM4X38DBOK","B00M49C6MK","91176851","Sentey Ls 4162","4","0","0","N","Y","It's a good beginners stereo","It's a good beginners stereo. I bought it for 10 yr old grandson and he loved it!  So that work for me.. thanks Amazon","16436","2015","Mobile_Electronics"
"US","50112669","R2AUIN3R1SPTVA","B00M69QV0G","82224280","Bluetooth Speakers Dylan™ Cocoon Portable Bluetooth Speakers with Nfc, Wireless Speaker System / Portable Speakers with 1800mah Li-ion Battery, Ultra Bass Booster, Powerful Crystal-clear Sound, Subwoofer Sound Effect / Built in Mic for Calls / for Smart Phones and Tablets / Laptops / Pc Computers / Mp3 Players (Silver)","5","1","1","N","Y","The Next Little Thing...","The connection on my iHOME cube was beginning to cut out. It had been worth every penny; I used it daily at work.  But when looking to replace it with another cube, the comments by Amazon customers on the Dylan COCOON really caught my eye.  I am not an audiophile but have been listening to music since the mid-50's.  I hooked this up to my Sandisk Sansa Clip and tried it with Blues, Rock, Jazz, Classical, Techno, Lounge Music, Funk and R&B.  Whoa!  This won't fill a room like my Bowers & Wilkins speakers; that isn't what it is for.  But I'm tellin' you it has way more range than you would expect from this little unit.  Plenty of highs when listening to Al DiMeola's guitar and easily enough bass for Parliament Funkadelic.  (I can imagine Billy Mays shouting Oxy-Clean through this thing.)  Some customers complain that the connecting cord for recharging is too short, and for many that may be so.  But I'm betting that those same customers already have several of those if they have ever replaced a phone, tablet, mp3 player and the like, to so me that should not be a big deal.  What is a big deal is the sound quality the COCOON provides.  WOOT!  I do not have blue tooth (My phone is not smart) so I connect via the 2nd accessory cable and am totally happy with that arrangement.<br />In advance, I'd like to say I hope you enjoy your Dylan COCOON!","16436","2015","Mobile_Electronics"
"US","10708553","R18JORFV80ZI6F","B00HNHNF4G","993579681","LT Sport serial#3C-72 for BLACK 3""/76mm SHORT ANTENNA CARBON FIBER RADIO SCREW TYPE","4","0","0","N","Y","Okay","Looks great and sleek. Reception not as good as other antennaes, but works well on most stations.","16436","2015","Mobile_Electronics"
"US","52716706","R3RXD1ZHG3AEPR","B00GYURL7A","623551230","Kroo (Black) Hard Shell Carrying GPS Case for 7-inch Magellan RM1700-LM 7in navigator + 2-Pack 7-inch Clear GPS Screen Protectors","5","0","0","N","Y","I'm Satisfied","Using for a Garmin 7&#34; Nuvi 2757LM.  Fits great.  However, if you want to carry accessories in addition to the GPS , this is not it.  Room for GPS only.","16437","2015","Mobile_Electronics"
"US","38076875","RK5NE966XFTD8","B00AI5UOJ4","909455682","OontZ Angle Bluetooth Speaker [FIRST GENERATION] Ultra Portable Wireless with Built in Mic up to 10 Hour Playtime works with iPhone iPad tablet Samsung and smart phones - Green Grille","5","0","0","N","Y","It's been great.","My son takes it everywhere. It's been great.","16437","2015","Mobile_Electronics"
"US","13413128","R29UM0S9YVCCEJ","B007WOKBRY","987522321","EC TECHNOLOGY? New design Backup External Battery Pack and Charger (Power Bank) with flashlight","4","0","0","N","Y","I like this product - does not come with a connecting ...","I like this product - does not come with a connecting wire but it fit my phone charger and hot spot wire perfectly. Took this on a trip to Europe to charge my cell phone on the go and it did the job well. The only drawback is the flashlight button. I would open my backpack to see it on and would have to re-position it inside a pocket so it would not accidentally turn on again. This happened a few times. It charges in more of a trickle flow type charge but it works and was not expensive aka if someone stole my bag or it breaks I would not be sad. I still use this occasionally and it is a good addition to my small emergency kit.","16437","2015","Mobile_Electronics"
"US","7265678","R1YLBQZ0DQ0PAU","B00CHTJHVU","963132296","Alpatronix AX100 Ultra-Portable Mini Capsule Speaker with Enhanced Bass & 3.5mm Audio Jack for Apple iPhone, iPad, iPod, Samsung Galaxy, Nexus, HTC, Blackberry, Nokia, Smartphones, MP3/MP4 Players, Tablet, PC, Laptop [Retail Packaging - Rechargeable Battery, Carrying Pouch & miniUSB Cable] - (White)","5","0","0","N","N","Five Stars","Great ,,,shipped on time. Works great..my 16 year old loves IT","16437","2015","Mobile_Electronics"
"US","18362620","RYRGGQ4NIK3VB","B004XKZ1UC","265423475","eForCity Leather Case for Barnes and Noble Nook / Nook Color, Black","5","0","0","N","Y","Five Stars","very very nice.","16437","2015","Mobile_Electronics"
"US","30769764","R22OLVVVPFQPMU","B00JFFABP0","612551203","Portable FM HD Radio","5","0","0","N","Y","Five Stars","Excellent buy...great reception of my local HD channels.  Sound is good thru speakers, better thru earbuds.","16437","2015","Mobile_Electronics"
"US","25969311","RCH8BDATPKW0R","B008BL2JOA","588596999","TomTom 4.3-Inch Start 40M GPS with Lifetime Map Updates","5","1","1","N","N","bought this unit when my other TomTom broke down (have it for at lease 6 yrs) Bought this unit and I love it the screen it big a","I didnt buy it from Amazon , bought this unit when my other TomTom broke down (have it for at lease 6 yrs) Bought this unit and I love it the screen it big and everything works great . I will only buy TomTom for it is a company I can trust","16437","2015","Mobile_Electronics"
